#chunkId,viewpointId,tileId,visibilityRatio,switchingDecisionTime
0,0,0,0.0,-1
0,0,1,0.371,-1
0,0,2,0.55,-1
0,0,3,0.006,-1
0,0,4,0.0,-1
0,0,5,0.07300000000000001,-1
0,1,0,0.0,-1
0,1,1,0.0,-1
0,1,2,0.0,-1
0,1,3,0.0,-1
0,1,4,0.0,-1
0,1,5,0.0,-1
0,2,0,0.0,-1
0,2,1,0.0,-1
0,2,2,0.0,-1
0,2,3,0.0,-1
0,2,4,0.0,-1
0,2,5,0.0,-1
1,0,0,0.0,-1
1,0,1,0.484,-1
1,0,2,0.441,-1
1,0,3,0.005,-1
1,0,4,0.0,-1
1,0,5,0.0699999999999999,-1
1,1,0,0.0,-1
1,1,1,0.0,-1
1,1,2,0.0,-1
1,1,3,0.0,-1
1,1,4,0.0,-1
1,1,5,0.0,-1
1,2,0,0.0,-1
1,2,1,0.0,-1
1,2,2,0.0,-1
1,2,3,0.0,-1
1,2,4,0.0,-1
1,2,5,0.0,-1
2,0,0,0.0,-1
2,0,1,0.705,-1
2,0,2,0.261,-1
2,0,3,0.0,-1
2,0,4,0.0,-1
2,0,5,0.034000000000000016,-1
2,1,0,0.0,-1
2,1,1,0.0,-1
2,1,2,0.0,-1
2,1,3,0.0,-1
2,1,4,0.0,-1
2,1,5,0.0,-1
2,2,0,0.0,-1
2,2,1,0.0,-1
2,2,2,0.0,-1
2,2,3,0.0,-1
2,2,4,0.0,-1
2,2,5,0.0,-1
3,0,0,0.0,-1
3,0,1,0.713,-1
3,0,2,0.255,-1
3,0,3,0.0,-1
3,0,4,0.0,-1
3,0,5,0.032000000000000015,-1
3,1,0,0.0,-1
3,1,1,0.0,-1
3,1,2,0.0,-1
3,1,3,0.0,-1
3,1,4,0.0,-1
3,1,5,0.0,-1
3,2,0,0.0,-1
3,2,1,0.0,-1
3,2,2,0.0,-1
3,2,3,0.0,-1
3,2,4,0.0,-1
3,2,5,0.0,-1
4,0,0,0.0,-1
4,0,1,0.537,-1
4,0,2,0.406,-1
4,0,3,0.006,-1
4,0,4,0.0,-1
4,0,5,0.0509999999999999,-1
4,1,0,0.0,-1
4,1,1,0.0,-1
4,1,2,0.0,-1
4,1,3,0.0,-1
4,1,4,0.0,-1
4,1,5,0.0,-1
4,2,0,0.0,-1
4,2,1,0.0,-1
4,2,2,0.0,-1
4,2,3,0.0,-1
4,2,4,0.0,-1
4,2,5,0.0,-1
5,0,0,0.004,-1
5,0,1,0.066,-1
5,0,2,0.56,-1
5,0,3,0.017,-1
5,0,4,0.3,-1
5,0,5,0.05299999999999991,-1
5,1,0,0.0,-1
5,1,1,0.0,-1
5,1,2,0.0,-1
5,1,3,0.0,-1
5,1,4,0.0,-1
5,1,5,0.0,-1
5,2,0,0.0,-1
5,2,1,0.0,-1
5,2,2,0.0,-1
5,2,3,0.0,-1
5,2,4,0.0,-1
5,2,5,0.0,-1
6,0,0,0.004,-1
6,0,1,0.053,-1
6,0,2,0.522,-1
6,0,3,0.02,-1
6,0,4,0.347,-1
6,0,5,0.05400000000000002,-1
6,1,0,0.0,-1
6,1,1,0.0,-1
6,1,2,0.0,-1
6,1,3,0.0,-1
6,1,4,0.0,-1
6,1,5,0.0,-1
6,2,0,0.0,-1
6,2,1,0.0,-1
6,2,2,0.0,-1
6,2,3,0.0,-1
6,2,4,0.0,-1
6,2,5,0.0,-1
7,0,0,0.04,-1
7,0,1,0.611,-1
7,0,2,0.297,-1
7,0,3,0.011,-1
7,0,4,0.0,-1
7,0,5,0.04100000000000001,-1
7,1,0,0.0,-1
7,1,1,0.0,-1
7,1,2,0.0,-1
7,1,3,0.0,-1
7,1,4,0.0,-1
7,1,5,0.0,-1
7,2,0,0.0,-1
7,2,1,0.0,-1
7,2,2,0.0,-1
7,2,3,0.0,-1
7,2,4,0.0,-1
7,2,5,0.0,-1
8,0,0,0.52,-1
8,0,1,0.374,-1
8,0,2,0.01,-1
8,0,3,0.038,-1
8,0,4,0.035,-1
8,0,5,0.022999999999999896,-1
8,1,0,0.0,-1
8,1,1,0.0,-1
8,1,2,0.0,-1
8,1,3,0.0,-1
8,1,4,0.0,-1
8,1,5,0.0,-1
8,2,0,0.0,-1
8,2,1,0.0,-1
8,2,2,0.0,-1
8,2,3,0.0,-1
8,2,4,0.0,-1
8,2,5,0.0,-1
9,0,0,0.644,-1
9,0,1,0.244,-1
9,0,2,0.0,-1
9,0,3,0.016,-1
9,0,4,0.055,-1
9,0,5,0.04099999999999989,-1
9,1,0,0.0,-1
9,1,1,0.0,-1
9,1,2,0.0,-1
9,1,3,0.0,-1
9,1,4,0.0,-1
9,1,5,0.0,-1
9,2,0,0.0,-1
9,2,1,0.0,-1
9,2,2,0.0,-1
9,2,3,0.0,-1
9,2,4,0.0,-1
9,2,5,0.0,-1
10,0,0,0.65,-1
10,0,1,0.232,-1
10,0,2,0.0,-1
10,0,3,0.008,-1
10,0,4,0.058,-1
10,0,5,0.051999999999999894,-1
10,1,0,0.0,-1
10,1,1,0.0,-1
10,1,2,0.0,-1
10,1,3,0.0,-1
10,1,4,0.0,-1
10,1,5,0.0,-1
10,2,0,0.0,-1
10,2,1,0.0,-1
10,2,2,0.0,-1
10,2,3,0.0,-1
10,2,4,0.0,-1
10,2,5,0.0,-1
11,0,0,0.711,-1
11,0,1,0.14,-1
11,0,2,0.0,-1
11,0,3,0.006,-1
11,0,4,0.109,-1
11,0,5,0.034,-1
11,1,0,0.0,-1
11,1,1,0.0,-1
11,1,2,0.0,-1
11,1,3,0.0,-1
11,1,4,0.0,-1
11,1,5,0.0,-1
11,2,0,0.0,-1
11,2,1,0.0,-1
11,2,2,0.0,-1
11,2,3,0.0,-1
11,2,4,0.0,-1
11,2,5,0.0,-1
12,0,0,0.641,-1
12,0,1,0.247,-1
12,0,2,0.0,-1
12,0,3,0.011,-1
12,0,4,0.051,-1
12,0,5,0.04999999999999989,-1
12,1,0,0.0,-1
12,1,1,0.0,-1
12,1,2,0.0,-1
12,1,3,0.0,-1
12,1,4,0.0,-1
12,1,5,0.0,-1
12,2,0,0.0,-1
12,2,1,0.0,-1
12,2,2,0.0,-1
12,2,3,0.0,-1
12,2,4,0.0,-1
12,2,5,0.0,-1
13,0,0,0.666,-1
13,0,1,0.209,-1
13,0,2,0.0,-1
13,0,3,0.008,-1
13,0,4,0.07,-1
13,0,5,0.046999999999999896,-1
13,1,0,0.0,-1
13,1,1,0.0,-1
13,1,2,0.0,-1
13,1,3,0.0,-1
13,1,4,0.0,-1
13,1,5,0.0,-1
13,2,0,0.0,-1
13,2,1,0.0,-1
13,2,2,0.0,-1
13,2,3,0.0,-1
13,2,4,0.0,-1
13,2,5,0.0,-1
14,0,0,0.667,-1
14,0,1,0.204,-1
14,0,2,0.0,-1
14,0,3,0.005,-1
14,0,4,0.07,-1
14,0,5,0.054000000000000006,-1
14,1,0,0.0,-1
14,1,1,0.0,-1
14,1,2,0.0,-1
14,1,3,0.0,-1
14,1,4,0.0,-1
14,1,5,0.0,-1
14,2,0,0.0,-1
14,2,1,0.0,-1
14,2,2,0.0,-1
14,2,3,0.0,-1
14,2,4,0.0,-1
14,2,5,0.0,-1
15,0,0,0.676,-1
15,0,1,0.168,-1
15,0,2,0.0,-1
15,0,3,0.006,-1
15,0,4,0.089,-1
15,0,5,0.060999999999999895,-1
15,1,0,0.0,-1
15,1,1,0.0,-1
