#chunkId,viewpointId,tileId,qualityId,distortion,bitrate
0,0,0,0,2.584,0.784576
0,0,0,1,1.95,1.069456
0,0,0,2,1.463,1.568488
0,0,1,0,2.584,0.546456
0,0,1,1,1.95,0.74344
0,0,1,2,1.463,1.10464
0,0,2,0,2.584,0.398336
0,0,2,1,1.95,0.550672
0,0,2,2,1.463,0.836736
0,0,3,0,2.584,0.641736
0,0,3,1,1.95,1.036768
0,0,3,2,1.463,1.791168
0,0,4,0,2.584,0.505904
0,0,4,1,1.95,0.701952
0,0,4,2,1.463,1.063032
0,0,5,0,2.584,1.127048
0,0,5,1,1.95,1.623704
0,0,5,2,1.463,2.631248
0,1,0,0,2.584,0.820728
0,1,0,1,1.95,1.060952
0,1,0,2,1.463,1.494344
0,1,1,0,2.584,0.48964
0,1,1,1,1.95,0.658984
0,1,1,2,1.463,0.955248
0,1,2,0,2.584,0.421144
0,1,2,1,1.95,0.570856
0,1,2,2,1.463,0.849168
0,1,3,0,2.584,0.562592
0,1,3,1,1.95,0.888416
0,1,3,2,1.463,1.426216
0,1,4,0,2.584,0.640952
0,1,4,1,1.95,0.880984
0,1,4,2,1.463,1.308104
0,1,5,0,2.584,0.60792
0,1,5,1,1.95,0.835328
0,1,5,2,1.463,1.26436
0,2,0,0,2.584,0.413888
0,2,0,1,1.95,0.57064
0,2,0,2,1.463,0.841568
0,2,1,0,2.584,0.514792
0,2,1,1,1.95,0.70084
0,2,1,2,1.463,1.015712
0,2,2,0,2.584,0.772328
0,2,2,1,1.95,1.055168
0,2,2,2,1.463,1.51808
0,2,3,0,2.584,0.569144
0,2,3,1,1.95,0.879144
0,2,3,2,1.463,1.409496
0,2,4,0,2.584,0.456496
0,2,4,1,1.95,0.649168
0,2,4,2,1.463,0.942984
0,2,5,0,2.584,0.528
0,2,5,1,1.95,0.755024
0,2,5,2,1.463,1.119576
1,0,0,0,1.481,1.07832
1,0,0,1,1.245,1.594
1,0,0,2,0.979,2.6064
1,0,1,0,1.481,0.678728
1,0,1,1,1.245,1.007464
1,0,1,2,0.979,1.705312
1,0,2,0,1.481,0.483184
1,0,2,1,1.245,0.734832
1,0,2,2,0.979,1.28912
1,0,3,0,1.481,0.959288
1,0,3,1,1.245,1.607
1,0,3,2,0.979,3.001632
1,0,4,0,1.481,0.652744
1,0,4,1,1.245,0.97572
1,0,4,2,0.979,1.649224
1,0,5,0,1.481,1.591416
1,0,5,1,1.245,2.447392
1,0,5,2,0.979,4.174792
1,1,0,0,1.481,1.530696
1,1,0,1,1.245,2.149048
1,1,0,2,0.979,3.122488
1,1,1,0,1.481,0.650832
1,1,1,1,1.245,0.990384
1,1,1,2,0.979,1.60184
1,1,2,0,1.481,0.571992
1,1,2,1,1.245,0.852128
1,1,2,2,0.979,1.427184
1,1,3,0,1.481,0.923008
1,1,3,1,1.245,1.522168
1,1,3,2,0.979,2.587888
1,1,4,0,1.481,0.88808
1,1,4,1,1.245,1.349
1,1,4,2,0.979,2.177392
1,1,5,0,1.481,0.89912
1,1,5,1,1.245,1.340312
1,1,5,2,0.979,2.213944
1,2,0,0,1.481,0.627048
1,2,0,1,1.245,0.928672
1,2,0,2,0.979,1.50408
1,2,1,0,1.481,0.754968
1,2,1,1,1.245,1.126088
1,2,1,2,0.979,1.764808
1,2,2,0,1.481,1.149752
1,2,2,1,1.245,1.674736
1,2,2,2,0.979,2.548384
1,2,3,0,1.481,1.065584
1,2,3,1,1.245,1.648792
1,2,3,2,0.979,2.732056
1,2,4,0,1.481,0.69464
1,2,4,1,1.245,1.017016
1,2,4,2,0.979,1.601416
1,2,5,0,1.481,0.84816
1,2,5,1,1.245,1.223568
1,2,5,2,0.979,2.028192
2,0,0,0,1.5,0.985784
2,0,0,1,1.243,1.51312
2,0,0,2,0.923,2.90604
2,0,1,0,1.5,0.673752
2,0,1,1,1.243,1.03056
2,0,1,2,0.923,1.999184
2,0,2,0,1.5,0.480504
2,0,2,1,1.243,0.742456
2,0,2,2,0.923,1.475896
2,0,3,0,1.5,0.945472
2,0,3,1,1.243,1.65456
2,0,3,2,0.923,3.505104
2,0,4,0,1.5,0.634472
2,0,4,1,1.243,0.984168
2,0,4,2,0.923,1.91408
2,0,5,0,1.5,1.557152
2,0,5,1,1.243,2.517248
2,0,5,2,0.923,4.832184
2,1,0,0,1.5,1.309856
2,1,0,1,1.243,2.03484
2,1,0,2,0.923,3.219672
2,1,1,0,1.5,0.619944
2,1,1,1,1.243,1.045912
2,1,1,2,0.923,1.804592
2,1,2,0,1.5,0.551496
2,1,2,1,1.243,0.882568
2,1,2,2,0.923,1.656384
2,1,3,0,1.5,0.914872
2,1,3,1,1.243,1.639976
2,1,3,2,0.923,3.039656
2,1,4,0,1.5,0.859128
2,1,4,1,1.243,1.411328
2,1,4,2,0.923,2.517112
2,1,5,0,1.5,0.858368
2,1,5,1,1.243,1.401456
2,1,5,2,0.923,2.6644
2,2,0,0,1.5,0.653384
2,2,0,1,1.243,1.020992
2,2,0,2,0.923,1.7668
2,2,1,0,1.5,0.783288
2,2,1,1,1.243,1.220472
2,2,1,2,0.923,2.05728
2,2,2,0,1.5,1.204776
2,2,2,1,1.243,1.870056
2,2,2,2,0.923,2.974744
2,2,3,0,1.5,1.128808
2,2,3,1,1.243,1.872968
2,2,3,2,0.923,3.33432
2,2,4,0,1.5,0.714464
2,2,4,1,1.243,1.1012
2,2,4,2,0.923,1.884848
2,2,5,0,1.5,0.871608
2,2,5,1,1.243,1.338544
2,2,5,2,0.923,2.480768
3,0,0,0,1.493,0.916224
3,0,0,1,1.24,1.398568
3,0,0,2,0.8970000000000001,2.877024
3,0,1,0,1.493,0.664488
3,0,1,1,1.24,1.00324
3,0,1,2,0.8970000000000001,2.078088
3,0,2,0,1.493,0.4684
3,0,2,1,1.24,0.714904
3,0,2,2,0.8970000000000001,1.526752
3,0,3,0,1.493,0.938952
3,0,3,1,1.24,1.648984
3,0,3,2,0.8970000000000001,3.678704
3,0,4,0,1.493,0.624536
3,0,4,1,1.24,0.959656
3,0,4,2,0.8970000000000001,1.991624
3,0,5,0,1.493,1.529032
3,0,5,1,1.24,2.429856
3,0,5,2,0.8970000000000001,5.045368
3,1,0,0,1.493,1.494504
3,1,0,1,1.24,2.293056
3,1,0,2,0.8970000000000001,3.726384
3,1,1,0,1.493,0.636784
3,1,1,1,1.24,1.0664
3,1,1,2,0.8970000000000001,1.947064
